Rank,Team,Games,W-L,EMO GA,OPP ATT,Pct.,Date,Academic Year
53,Navy (Patriot),14,9-5,20,48,0.583,05/25/2015-Final Statistics,2015.0
54,Bucknell (Patriot),15,9-6,24,57,0.579,05/25/2015-Final Statistics,2015.0
55,Hofstra (CAA),14,5-9,19,45,0.578,05/25/2015-Final Statistics,2015.0
56,Denver (Big East),19,17-2,21,49,0.571,05/25/2015-Final Statistics,2015.0
57,Duke (ACC),18,12-6,25,58,0.569,05/25/2015-Final Statistics,2015.0
58,Bryant (NEC),18,8-10,19,44,0.568,05/25/2015-Final Statistics,2015.0
59,Notre Dame (ACC),15,12-3,17,38,0.553,05/25/2015-Final Statistics,2015.0
60,Georgetown (Big East),16,10-6,24,53,0.547,05/25/2015-Final Statistics,2015.0
61,Sacred Heart (NEC),13,6-7,19,41,0.537,05/25/2015-Final Statistics,2015.0
62,VMI (SoCon),15,1-14,20,43,0.535,05/25/2015-Final Statistics,2015.0
63,St. John's (NY) (Big East),14,3-11,24,51,0.529,05/25/2015-Final Statistics,2015.0
64,Hartford (America East),15,7-8,28,58,0.517,05/25/2015-Final Statistics,2015.0
65,Binghamton (America East),13,4-9,15,31,0.516,05/25/2015-Final Statistics,2015.0
66,Loyola Maryland (Patriot),15,7-8,16,33,0.515,05/25/2015-Final Statistics,2015.0
67,Canisius (MAAC),15,3-12,18,37,0.514,05/25/2015-Final Statistics,2015.0
68,Princeton (Ivy League),15,9-6,33,64,0.484,05/25/2015-Final Statistics,2015.0
-,UMass Lowell (America East),14,1-13,26,54,0.519,05/25/2015-Final Statistics,2015.0
1,Saint Joseph's (NEC),17,11-6,12,60,0.800,05/23/2015,2015.0
2,Richmond (SoCon),16,11-5,12,57,0.789,05/23/2015,2015.0
3,Providence (Big East),14,5-9,14,60,0.767,05/23/2015,2015.0
4,Furman (SoCon),13,4-9,10,41,0.756,05/23/2015,2015.0
5,Bellarmine (SoCon),12,4-8,13,50,0.740,05/23/2015,2015.0
6,Towson (CAA),18,12-6,13,48,0.729,05/23/2015,2015.0
7,High Point (SoCon),17,10-7,15,55,0.727,05/23/2015,2015.0
8,Monmouth (MAAC),14,6-8,13,46,0.717,05/23/2015,2015.0
9,Yale (Ivy League),16,11-5,15,52,0.712,05/23/2015,2015.0
10,Colgate (Patriot),16,10-6,13,45,0.711,05/23/2015,2015.0
10,Maryland (Big Ten),18,15-3,13,45,0.711,05/23/2015,2015.0
12,Marist (MAAC),18,14-4,22,76,0.711,05/23/2015,2015.0
13,Hobart (NEC),14,7-7,10,34,0.706,05/23/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,14,46,0.696,05/23/2015,2015.0
15,Lafayette (Patriot),14,4-10,14,45,0.689,05/23/2015,2015.0
16,Syracuse (ACC),16,13-3,15,48,0.688,05/23/2015,2015.0
17,Manhattan (MAAC),15,1-14,21,67,0.687,05/23/2015,2015.0
18,Brown (Ivy League),17,12-5,19,60,0.683,05/23/2015,2015.0
19,Boston U. (Patriot),14,6-8,14,44,0.682,05/23/2015,2015.0
20,Michigan (Big Ten),13,5-8,13,40,0.675,05/23/2015,2015.0
21,Penn St. (Big Ten),14,5-9,15,46,0.674,05/23/2015,2015.0
22,Drexel (CAA),15,7-8,19,58,0.672,05/23/2015,2015.0
23,Quinnipiac (MAAC),15,7-8,20,60,0.667,05/23/2015,2015.0
24,Cornell (Ivy League),16,10-6,21,61,0.656,05/23/2015,2015.0
25,Siena (MAAC),14,5-9,20,58,0.655,05/23/2015,2015.0
26,Delaware (CAA),15,5-10,17,49,0.653,05/23/2015,2015.0
27,North Carolina (ACC),17,13-4,24,69,0.652,05/23/2015,2015.0
27,Penn (Ivy League),13,6-7,16,46,0.652,05/23/2015,2015.0
29,Mount St. Mary's (NEC),15,5-10,18,51,0.647,05/23/2015,2015.0
30,Lehigh (Patriot),16,7-9,22,62,0.645,05/23/2015,2015.0
31,Fairfield (CAA),15,9-6,9,25,0.640,05/23/2015,2015.0
32,Wagner (NEC),13,4-9,13,36,0.639,05/23/2015,2015.0
33,Massachusetts (CAA),15,5-10,20,55,0.636,05/23/2015,2015.0
33,Mercer (SoCon),13,5-8,16,44,0.636,05/23/2015,2015.0
35,Marquette (Big East),16,10-6,18,49,0.633,05/23/2015,2015.0
36,Harvard (Ivy League),14,7-7,23,62,0.629,05/23/2015,2015.0
37,Vermont (America East),16,6-10,26,70,0.629,05/23/2015,2015.0
38,NJIT (Independent),12,0-12,19,51,0.627,05/23/2015,2015.0
39,Villanova (Big East),14,6-8,18,48,0.625,05/23/2015,2015.0
40,Holy Cross (Patriot),13,6-7,17,45,0.622,05/23/2015,2015.0
40,UMBC (America East),13,5-8,17,45,0.622,05/23/2015,2015.0
42,Johns Hopkins (Big Ten),18,11-7,19,50,0.620,05/23/2015,2015.0
42,Virginia (ACC),15,10-5,19,50,0.620,05/23/2015,2015.0
44,Army West Point (Patriot),17,10-7,15,39,0.615,05/23/2015,2015.0
45,Jacksonville (SoCon),12,4-8,12,31,0.613,05/23/2015,2015.0
45,Ohio St. (Big Ten),19,12-7,12,31,0.613,05/23/2015,2015.0
47,UAlbany (America East),19,16-3,26,67,0.612,05/23/2015,2015.0
48,Robert Morris (NEC),14,3-11,12,30,0.600,05/23/2015,2015.0
49,Stony Brook (America East),18,13-5,22,54,0.593,05/23/2015,2015.0
50,Detroit Mercy (MAAC),14,8-6,20,49,0.592,05/23/2015,2015.0
51,Air Force (ECAC),15,8-7,18,44,0.591,05/23/2015,2015.0
52,Rutgers (Big Ten),15,5-10,17,41,0.585,05/23/2015,2015.0
53,Navy (Patriot),14,9-5,20,48,0.583,05/23/2015,2015.0
54,Bucknell (Patriot),15,9-6,24,57,0.579,05/23/2015,2015.0
55,Hofstra (CAA),14,5-9,19,45,0.578,05/23/2015,2015.0
56,Denver (Big East),18,16-2,21,49,0.571,05/23/2015,2015.0
57,Duke (ACC),18,12-6,25,58,0.569,05/23/2015,2015.0
58,Bryant (NEC),18,8-10,19,44,0.568,05/23/2015,2015.0
59,Notre Dame (ACC),15,12-3,17,38,0.553,05/23/2015,2015.0
60,Georgetown (Big East),16,10-6,24,53,0.547,05/23/2015,2015.0
61,Sacred Heart (NEC),13,6-7,19,41,0.537,05/23/2015,2015.0
62,VMI (SoCon),15,1-14,20,43,0.535,05/23/2015,2015.0
63,St. John's (NY) (Big East),14,3-11,24,51,0.529,05/23/2015,2015.0
64,Hartford (America East),15,7-8,28,58,0.517,05/23/2015,2015.0
65,Binghamton (America East),13,4-9,15,31,0.516,05/23/2015,2015.0
66,Loyola Maryland (Patriot),15,7-8,16,33,0.515,05/23/2015,2015.0
67,Canisius (MAAC),15,3-12,18,37,0.514,05/23/2015,2015.0
68,Princeton (Ivy League),15,9-6,33,64,0.484,05/23/2015,2015.0
-,UMass Lowell (America East),14,1-13,26,54,0.519,05/23/2015,2015.0
1,Saint Joseph's (NEC),17,11-6,12,60,0.800,05/17/2015,2015.0
2,Richmond (SoCon),16,11-5,12,57,0.789,05/17/2015,2015.0
3,Providence (Big East),14,5-9,14,60,0.767,05/17/2015,2015.0
4,Furman (SoCon),13,4-9,10,41,0.756,05/17/2015,2015.0
5,Bellarmine (SoCon),12,4-8,13,50,0.740,05/17/2015,2015.0
6,Towson (CAA),18,12-6,13,48,0.729,05/17/2015,2015.0
7,High Point (SoCon),17,10-7,15,55,0.727,05/17/2015,2015.0
8,Maryland (Big Ten),17,14-3,11,40,0.725,05/17/2015,2015.0
9,Monmouth (MAAC),14,6-8,13,46,0.717,05/17/2015,2015.0
10,Yale (Ivy League),16,11-5,15,52,0.712,05/17/2015,2015.0
11,Colgate (Patriot),16,10-6,13,45,0.711,05/17/2015,2015.0
12,Marist (MAAC),18,14-4,22,76,0.711,05/17/2015,2015.0
13,Hobart (NEC),14,7-7,10,34,0.706,05/17/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,14,46,0.696,05/17/2015,2015.0
15,Lafayette (Patriot),14,4-10,14,45,0.689,05/17/2015,2015.0
16,Syracuse (ACC),16,13-3,15,48,0.688,05/17/2015,2015.0
17,Manhattan (MAAC),15,1-14,21,67,0.687,05/17/2015,2015.0
18,Brown (Ivy League),17,12-5,19,60,0.683,05/17/2015,2015.0
19,Boston U. (Patriot),14,6-8,14,44,0.682,05/17/2015,2015.0
20,Michigan (Big Ten),13,5-8,13,40,0.675,05/17/2015,2015.0
21,Penn St. (Big Ten),14,5-9,15,46,0.674,05/17/2015,2015.0
22,Drexel (CAA),15,7-8,19,58,0.672,05/17/2015,2015.0
23,Quinnipiac (MAAC),15,7-8,20,60,0.667,05/17/2015,2015.0
24,Cornell (Ivy League),16,10-6,21,61,0.656,05/17/2015,2015.0
25,Siena (MAAC),14,5-9,20,58,0.655,05/17/2015,2015.0
26,Delaware (CAA),15,5-10,17,49,0.653,05/17/2015,2015.0
27,North Carolina (ACC),17,13-4,24,69,0.652,05/17/2015,2015.0
27,Penn (Ivy League),13,6-7,16,46,0.652,05/17/2015,2015.0
29,Mount St. Mary's (NEC),15,5-10,18,51,0.647,05/17/2015,2015.0
30,Lehigh (Patriot),16,7-9,22,62,0.645,05/17/2015,2015.0
31,Fairfield (CAA),15,9-6,9,25,0.640,05/17/2015,2015.0
32,Wagner (NEC),13,4-9,13,36,0.639,05/17/2015,2015.0
33,Massachusetts (CAA),15,5-10,20,55,0.636,05/17/2015,2015.0
33,Mercer (SoCon),13,5-8,16,44,0.636,05/17/2015,2015.0
35,Johns Hopkins (Big Ten),17,11-6,18,49,0.633,05/17/2015,2015.0
35,Marquette (Big East),16,10-6,18,49,0.633,05/17/2015,2015.0
37,Harvard (Ivy League),14,7-7,23,62,0.629,05/17/2015,2015.0
38,Vermont (America East),16,6-10,26,70,0.629,05/17/2015,2015.0
39,NJIT (Independent),12,0-12,19,51,0.627,05/17/2015,2015.0
40,Villanova (Big East),14,6-8,18,48,0.625,05/17/2015,2015.0
41,Holy Cross (Patriot),13,6-7,17,45,0.622,05/17/2015,2015.0
41,UMBC (America East),13,5-8,17,45,0.622,05/17/2015,2015.0
43,Virginia (ACC),15,10-5,19,50,0.620,05/17/2015,2015.0
44,Army West Point (Patriot),17,10-7,15,39,0.615,05/17/2015,2015.0
45,Jacksonville (SoCon),12,4-8,12,31,0.613,05/17/2015,2015.0
45,Ohio St. (Big Ten),19,12-7,12,31,0.613,05/17/2015,2015.0
47,UAlbany (America East),19,16-3,26,67,0.612,05/17/2015,2015.0
48,Robert Morris (NEC),14,3-11,12,30,0.600,05/17/2015,2015.0
49,Stony Brook (America East),18,13-5,22,54,0.593,05/17/2015,2015.0
50,Detroit Mercy (MAAC),14,8-6,20,49,0.592,05/17/2015,2015.0
51,Air Force (ECAC),15,8-7,18,44,0.591,05/17/2015,2015.0
52,Rutgers (Big Ten),15,5-10,17,41,0.585,05/17/2015,2015.0
53,Navy (Patriot),14,9-5,20,48,0.583,05/17/2015,2015.0
54,Bucknell (Patriot),15,9-6,24,57,0.579,05/17/2015,2015.0
55,Hofstra (CAA),14,5-9,19,45,0.578,05/17/2015,2015.0
56,Denver (Big East),17,15-2,20,47,0.574,05/17/2015,2015.0
57,Duke (ACC),18,12-6,25,58,0.569,05/17/2015,2015.0
58,Bryant (NEC),18,8-10,19,44,0.568,05/17/2015,2015.0
59,Notre Dame (ACC),14,12-2,16,37,0.568,05/17/2015,2015.0
60,Georgetown (Big East),16,10-6,24,53,0.547,05/17/2015,2015.0
61,Sacred Heart (NEC),13,6-7,19,41,0.537,05/17/2015,2015.0
62,VMI (SoCon),15,1-14,20,43,0.535,05/17/2015,2015.0
63,St. John's (NY) (Big East),14,3-11,24,51,0.529,05/17/2015,2015.0
64,Hartford (America East),15,7-8,28,58,0.517,05/17/2015,2015.0
65,Binghamton (America East),13,4-9,15,31,0.516,05/17/2015,2015.0
66,Loyola Maryland (Patriot),15,7-8,16,33,0.515,05/17/2015,2015.0
67,Canisius (MAAC),15,3-12,18,37,0.514,05/17/2015,2015.0
68,Princeton (Ivy League),15,9-6,33,64,0.484,05/17/2015,2015.0
-,UMass Lowell (America East),14,1-13,26,54,0.519,05/17/2015,2015.0
1,Saint Joseph's (NEC),17,11-6,12,60,0.800,05/16/2015,2015.0
2,Richmond (SoCon),16,11-5,12,57,0.789,05/16/2015,2015.0
3,Providence (Big East),14,5-9,14,60,0.767,05/16/2015,2015.0
4,Furman (SoCon),13,4-9,10,41,0.756,05/16/2015,2015.0
5,Bellarmine (SoCon),12,4-8,13,50,0.740,05/16/2015,2015.0
6,Maryland (Big Ten),16,13-3,10,37,0.730,05/16/2015,2015.0
7,Towson (CAA),18,12-6,13,48,0.729,05/16/2015,2015.0
8,High Point (SoCon),17,10-7,15,55,0.727,05/16/2015,2015.0
9,Monmouth (MAAC),14,6-8,13,46,0.717,05/16/2015,2015.0
10,Yale (Ivy League),16,11-5,15,52,0.712,05/16/2015,2015.0
11,Colgate (Patriot),16,10-6,13,45,0.711,05/16/2015,2015.0
12,Marist (MAAC),18,14-4,22,76,0.711,05/16/2015,2015.0
13,Hobart (NEC),14,7-7,10,34,0.706,05/16/2015,2015.0
14,Syracuse (ACC),15,13-2,14,46,0.696,05/16/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,14,46,0.696,05/16/2015,2015.0
16,Lafayette (Patriot),14,4-10,14,45,0.689,05/16/2015,2015.0
17,Manhattan (MAAC),15,1-14,21,67,0.687,05/16/2015,2015.0
18,Brown (Ivy League),17,12-5,19,60,0.683,05/16/2015,2015.0
19,Boston U. (Patriot),14,6-8,14,44,0.682,05/16/2015,2015.0
20,Michigan (Big Ten),13,5-8,13,40,0.675,05/16/2015,2015.0
21,Penn St. (Big Ten),14,5-9,15,46,0.674,05/16/2015,2015.0
22,Drexel (CAA),15,7-8,19,58,0.672,05/16/2015,2015.0
23,North Carolina (ACC),16,13-3,22,66,0.667,05/16/2015,2015.0
23,Quinnipiac (MAAC),15,7-8,20,60,0.667,05/16/2015,2015.0
25,Johns Hopkins (Big Ten),16,10-6,16,47,0.660,05/16/2015,2015.0
26,Cornell (Ivy League),16,10-6,21,61,0.656,05/16/2015,2015.0
27,Siena (MAAC),14,5-9,20,58,0.655,05/16/2015,2015.0
28,Delaware (CAA),15,5-10,17,49,0.653,05/16/2015,2015.0
29,Penn (Ivy League),13,6-7,16,46,0.652,05/16/2015,2015.0
30,Mount St. Mary's (NEC),15,5-10,18,51,0.647,05/16/2015,2015.0
31,Lehigh (Patriot),16,7-9,22,62,0.645,05/16/2015,2015.0
32,Fairfield (CAA),15,9-6,9,25,0.640,05/16/2015,2015.0
33,Wagner (NEC),13,4-9,13,36,0.639,05/16/2015,2015.0
34,Massachusetts (CAA),15,5-10,20,55,0.636,05/16/2015,2015.0
34,Mercer (SoCon),13,5-8,16,44,0.636,05/16/2015,2015.0
36,Marquette (Big East),16,10-6,18,49,0.633,05/16/2015,2015.0
37,Harvard (Ivy League),14,7-7,23,62,0.629,05/16/2015,2015.0
38,Vermont (America East),16,6-10,26,70,0.629,05/16/2015,2015.0
39,NJIT (Independent),12,0-12,19,51,0.627,05/16/2015,2015.0
40,Villanova (Big East),14,6-8,18,48,0.625,05/16/2015,2015.0
41,Holy Cross (Patriot),13,6-7,17,45,0.622,05/16/2015,2015.0
41,UMBC (America East),13,5-8,17,45,0.622,05/16/2015,2015.0
43,Virginia (ACC),15,10-5,19,50,0.620,05/16/2015,2015.0
44,Army West Point (Patriot),17,10-7,15,39,0.615,05/16/2015,2015.0
45,Jacksonville (SoCon),12,4-8,12,31,0.613,05/16/2015,2015.0
45,Ohio St. (Big Ten),19,12-7,12,31,0.613,05/16/2015,2015.0
47,UAlbany (America East),19,16-3,26,67,0.612,05/16/2015,2015.0
48,Robert Morris (NEC),14,3-11,12,30,0.600,05/16/2015,2015.0
49,Stony Brook (America East),18,13-5,22,54,0.593,05/16/2015,2015.0
50,Detroit Mercy (MAAC),14,8-6,20,49,0.592,05/16/2015,2015.0
51,Air Force (ECAC),15,8-7,18,44,0.591,05/16/2015,2015.0
52,Rutgers (Big Ten),15,5-10,17,41,0.585,05/16/2015,2015.0
53,Navy (Patriot),14,9-5,20,48,0.583,05/16/2015,2015.0
54,Bucknell (Patriot),15,9-6,24,57,0.579,05/16/2015,2015.0
55,Hofstra (CAA),14,5-9,19,45,0.578,05/16/2015,2015.0
56,Denver (Big East),17,15-2,20,47,0.574,05/16/2015,2015.0
57,Duke (ACC),18,12-6,25,58,0.569,05/16/2015,2015.0
58,Bryant (NEC),18,8-10,19,44,0.568,05/16/2015,2015.0
59,Notre Dame (ACC),14,12-2,16,37,0.568,05/16/2015,2015.0
60,Georgetown (Big East),16,10-6,24,53,0.547,05/16/2015,2015.0
61,Sacred Heart (NEC),13,6-7,19,41,0.537,05/16/2015,2015.0
62,VMI (SoCon),15,1-14,20,43,0.535,05/16/2015,2015.0
63,St. John's (NY) (Big East),14,3-11,24,51,0.529,05/16/2015,2015.0
64,Hartford (America East),15,7-8,28,58,0.517,05/16/2015,2015.0
65,Binghamton (America East),13,4-9,15,31,0.516,05/16/2015,2015.0
66,Loyola Maryland (Patriot),15,7-8,16,33,0.515,05/16/2015,2015.0
67,Canisius (MAAC),15,3-12,18,37,0.514,05/16/2015,2015.0
68,Princeton (Ivy League),15,9-6,33,64,0.484,05/16/2015,2015.0
-,UMass Lowell (America East),14,1-13,26,54,0.519,05/16/2015,2015.0
1,Saint Joseph's (NEC),17,11-6,12,60,0.800,05/10/2015,2015.0
2,Richmond (SoCon),16,11-5,12,57,0.789,05/10/2015,2015.0
3,Providence (Big East),14,5-9,14,60,0.767,05/10/2015,2015.0
4,Furman (SoCon),13,4-9,10,41,0.756,05/10/2015,2015.0
5,Bellarmine (SoCon),12,4-8,13,50,0.740,05/10/2015,2015.0
6,Maryland (Big Ten),16,13-3,10,37,0.730,05/10/2015,2015.0
7,Towson (CAA),18,12-6,13,48,0.729,05/10/2015,2015.0
8,High Point (SoCon),17,10-7,15,55,0.727,05/10/2015,2015.0
9,Monmouth (MAAC),14,6-8,13,46,0.717,05/10/2015,2015.0
10,Yale (Ivy League),16,11-5,15,52,0.712,05/10/2015,2015.0
11,Colgate (Patriot),16,10-6,13,45,0.711,05/10/2015,2015.0
12,Marist (MAAC),18,14-4,22,76,0.711,05/10/2015,2015.0
13,Hobart (NEC),14,7-7,10,34,0.706,05/10/2015,2015.0
14,Syracuse (ACC),15,13-2,14,46,0.696,05/10/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,14,46,0.696,05/10/2015,2015.0
16,Lafayette (Patriot),14,4-10,14,45,0.689,05/10/2015,2015.0
17,Manhattan (MAAC),15,1-14,21,67,0.687,05/10/2015,2015.0
18,Brown (Ivy League),17,12-5,19,60,0.683,05/10/2015,2015.0
19,Boston U. (Patriot),14,6-8,14,44,0.682,05/10/2015,2015.0
20,Michigan (Big Ten),13,5-8,13,40,0.675,05/10/2015,2015.0
21,Penn St. (Big Ten),14,5-9,15,46,0.674,05/10/2015,2015.0
22,Drexel (CAA),15,7-8,19,58,0.672,05/10/2015,2015.0
23,North Carolina (ACC),16,13-3,22,66,0.667,05/10/2015,2015.0
23,Quinnipiac (MAAC),15,7-8,20,60,0.667,05/10/2015,2015.0
25,Johns Hopkins (Big Ten),16,10-6,16,47,0.660,05/10/2015,2015.0
26,Cornell (Ivy League),16,10-6,21,61,0.656,05/10/2015,2015.0
27,Siena (MAAC),14,5-9,20,58,0.655,05/10/2015,2015.0
27,Ohio St. (Big Ten),18,12-6,10,29,0.655,05/10/2015,2015.0
29,Delaware (CAA),15,5-10,17,49,0.653,05/10/2015,2015.0
30,Penn (Ivy League),13,6-7,16,46,0.652,05/10/2015,2015.0
31,Mount St. Mary's (NEC),15,5-10,18,51,0.647,05/10/2015,2015.0
32,Lehigh (Patriot),16,7-9,22,62,0.645,05/10/2015,2015.0
33,Fairfield (CAA),15,9-6,9,25,0.640,05/10/2015,2015.0
34,Wagner (NEC),13,4-9,13,36,0.639,05/10/2015,2015.0
35,Massachusetts (CAA),15,5-10,20,55,0.636,05/10/2015,2015.0
35,Mercer (SoCon),13,5-8,16,44,0.636,05/10/2015,2015.0
37,Marquette (Big East),16,10-6,18,49,0.633,05/10/2015,2015.0
38,Harvard (Ivy League),14,7-7,23,62,0.629,05/10/2015,2015.0
39,Vermont (America East),16,6-10,26,70,0.629,05/10/2015,2015.0
40,NJIT (Independent),12,0-12,19,51,0.627,05/10/2015,2015.0
41,Villanova (Big East),14,6-8,18,48,0.625,05/10/2015,2015.0
42,UMBC (America East),13,5-8,17,45,0.622,05/10/2015,2015.0
42,Holy Cross (Patriot),13,6-7,17,45,0.622,05/10/2015,2015.0
44,UAlbany (America East),18,16-2,25,66,0.621,05/10/2015,2015.0
45,Virginia (ACC),15,10-5,19,50,0.620,05/10/2015,2015.0
46,Army West Point (Patriot),17,10-7,15,39,0.615,05/10/2015,2015.0
47,Jacksonville (SoCon),12,4-8,12,31,0.613,05/10/2015,2015.0
48,Robert Morris (NEC),14,3-11,12,30,0.600,05/10/2015,2015.0
49,Stony Brook (America East),18,13-5,22,54,0.593,05/10/2015,2015.0
50,Detroit Mercy (MAAC),14,8-6,20,49,0.592,05/10/2015,2015.0
51,Air Force (ECAC),15,8-7,18,44,0.591,05/10/2015,2015.0
52,Denver (Big East),16,14-2,19,46,0.587,05/10/2015,2015.0
53,Rutgers (Big Ten),15,5-10,17,41,0.585,05/10/2015,2015.0
54,Navy (Patriot),14,9-5,20,48,0.583,05/10/2015,2015.0
55,Bucknell (Patriot),15,9-6,24,57,0.579,05/10/2015,2015.0
56,Hofstra (CAA),14,5-9,19,45,0.578,05/10/2015,2015.0
57,Duke (ACC),18,12-6,25,58,0.569,05/10/2015,2015.0
58,Bryant (NEC),18,8-10,19,44,0.568,05/10/2015,2015.0
59,Georgetown (Big East),16,10-6,24,53,0.547,05/10/2015,2015.0
60,Notre Dame (ACC),13,11-2,16,35,0.543,05/10/2015,2015.0
61,Sacred Heart (NEC),13,6-7,19,41,0.537,05/10/2015,2015.0
62,VMI (SoCon),15,1-14,20,43,0.535,05/10/2015,2015.0
63,St. John's (NY) (Big East),14,3-11,24,51,0.529,05/10/2015,2015.0
64,Hartford (America East),15,7-8,28,58,0.517,05/10/2015,2015.0
65,Binghamton (America East),13,4-9,15,31,0.516,05/10/2015,2015.0
66,Loyola Maryland (Patriot),15,7-8,16,33,0.515,05/10/2015,2015.0
67,Canisius (MAAC),15,3-12,18,37,0.514,05/10/2015,2015.0
68,Princeton (Ivy League),15,9-6,33,64,0.484,05/10/2015,2015.0
-,UMass Lowell (America East),14,1-13,26,54,0.519,05/10/2015,2015.0
1,Saint Joseph's (NEC),17,11-6,12,60,0.800,05/09/2015,2015.0
2,Richmond (SoCon),16,11-5,12,57,0.789,05/09/2015,2015.0
3,Providence (Big East),14,5-9,14,60,0.767,05/09/2015,2015.0
4,Furman (SoCon),13,4-9,10,41,0.756,05/09/2015,2015.0
